event_id,customer_id,event_date,event_type,from_grade,to_grade
ME00502,CUST00290,2024-07-21,가입,,일반
ME00503,CUST00291,2021-06-05,가입,,일반
ME00504,CUST00291,2021-07-01,등급상승,일반,BRONZE
ME00505,CUST00292,2022-07-22,가입,,일반
ME00506,CUST00293,2020-08-01,가입,,일반
ME00507,CUST00293,2024-11-03,이탈,일반,
ME00508,CUST00294,2021-06-03,가입,,일반
ME00509,CUST00294,2021-06-20,등급상승,일반,SILVER
ME00510,CUST00295,2020-08-22,가입,,일반
ME00511,CUST00296,2019-02-13,가입,,일반
ME00512,CUST00296,2019-02-19,등급상승,일반,BRONZE
ME00513,CUST00297,2023-05-20,가입,,일반
ME00514,CUST00297,2023-06-12,등급상승,일반,SILVER
ME00515,CUST00298,2021-10-02,가입,,일반
ME00516,CUST00300,2024-09-05,가입,,일반
ME00517,CUST00300,2024-09-19,등급상승,일반,GOLD
ME00518,CUST00301,2024-11-14,가입,,일반
ME00519,CUST00301,2024-11-26,등급상승,일반,GOLD
ME00520,CUST00302,2023-01-25,가입,,일반
ME00521,CUST00302,2023-02-17,등급상승,일반,GOLD
ME00522,CUST00304,2022-10-19,가입,,일반
ME00523,CUST00304,2022-10-30,등급상승,일반,BRONZE
ME00524,CUST00305,2023-08-29,가입,,일반
ME00525,CUST00306,2019-12-28,가입,,일반
ME00526,CUST00306,2020-01-09,등급상승,일반,BRONZE
ME00527,CUST00307,2022-11-09,가입,,일반
ME00528,CUST00307,2022-11-11,등급상승,일반,GOLD
ME00529,CUST00309,2023-12-02,가입,,일반
ME00530,CUST00309,2023-12-23,등급상승,일반,GOLD
ME00531,CUST00310,2019-08-03,가입,,일반
ME00532,CUST00311,2025-07-07,가입,,일반
ME00533,CUST00311,2025-08-04,등급상승,일반,BRONZE
ME00534,CUST00313,2023-07-02,가입,,일반
ME00535,CUST00313,2023-07-30,등급상승,일반,GOLD
ME00536,CUST00314,2024-09-23,가입,,일반
ME00537,CUST00314,2024-10-16,등급상승,일반,BRONZE
ME00538,CUST00315,2021-12-11,가입,,일반
ME00539,CUST00315,2023-05-14,등급상승,일반,GOLD
ME00540,CUST00315,2025-08-07,이탈,GOLD,
ME00541,CUST00317,2019-04-15,가입,,일반
ME00542,CUST00317,2019-05-04,등급상승,일반,SILVER
ME00543,CUST00318,2020-12-29,가입,,일반
ME00544,CUST00318,2021-01-09,등급상승,일반,BRONZE
ME00545,CUST00319,2025-12-09,가입,,일반
ME00546,CUST00320,2020-11-17,가입,,일반
ME00547,CUST00320,2020-11-25,등급상승,일반,SILVER
ME00548,CUST00321,2023-09-23,가입,,일반
ME00549,CUST00321,2024-08-15,등급상승,일반,SILVER
ME00550,CUST00321,2024-09-28,이탈,SILVER,
ME00551,CUST00322,2022-06-22,가입,,일반
ME00552,CUST00322,2022-07-05,등급상승,일반,GOLD
ME00553,CUST00323,2020-12-01,가입,,일반
ME00554,CUST00323,2020-12-09,등급상승,일반,SILVER
ME00555,CUST00324,2022-07-18,가입,,일반
ME00556,CUST00324,2022-07-27,등급상승,일반,BRONZE
ME00557,CUST00325,2024-07-02,가입,,일반
ME00558,CUST00325,2024-07-17,등급상승,일반,GOLD
ME00559,CUST00326,2021-04-14,가입,,일반
ME00560,CUST00326,2021-04-18,등급상승,일반,SILVER
ME00561,CUST00327,2023-01-29,가입,,일반
ME00562,CUST00327,2023-02-25,등급상승,일반,SILVER
ME00563,CUST00328,2020-08-13,가입,,일반
ME00564,CUST00329,2021-01-13,가입,,일반
ME00565,CUST00329,2021-02-07,등급상승,일반,BRONZE
ME00566,CUST00330,2021-03-23,가입,,일반
ME00567,CUST00330,2024-04-18,등급상승,일반,SILVER
ME00568,CUST00330,2024-08-22,이탈,SILVER,
ME00569,CUST00331,2020-09-23,가입,,일반
ME00570,CUST00331,2020-10-16,등급상승,일반,SILVER
ME00571,CUST00332,2019-02-20,가입,,일반
ME00572,CUST00332,2019-03-21,등급상승,일반,SILVER
ME00573,CUST00333,2022-03-26,가입,,일반
ME00574,CUST00333,2022-04-03,등급상승,일반,BRONZE
ME00575,CUST00335,2020-03-10,가입,,일반
ME00576,CUST00335,2020-04-06,등급상승,일반,BRONZE
ME00577,CUST00336,2023-06-16,가입,,일반
ME00578,CUST00336,2023-07-09,등급상승,일반,VIP
ME00579,CUST00337,2024-05-13,가입,,일반
ME00580,CUST00337,2024-05-20,등급상승,일반,SILVER
ME00581,CUST00338,2019-07-07,가입,,일반
ME00582,CUST00338,2019-07-27,등급상승,일반,BRONZE
ME00583,CUST00339,2022-07-01,가입,,일반
ME00584,CUST00339,2022-07-11,등급상승,일반,VIP
ME00585,CUST00340,2019-11-29,가입,,일반
ME00586,CUST00341,2025-12-07,가입,,일반
ME00587,CUST00341,2025-12-28,등급상승,일반,SILVER
ME00588,CUST00342,2023-10-22,가입,,일반
ME00589,CUST00342,2023-10-24,등급상승,일반,SILVER
ME00590,CUST00343,2019-10-18,가입,,일반
ME00591,CUST00343,2019-10-24,등급상승,일반,SILVER
ME00592,CUST00344,2019-09-14,가입,,일반
ME00593,CUST00344,2019-10-06,등급상승,일반,SILVER
ME00594,CUST00345,2019-05-13,가입,,일반
ME00595,CUST00345,2019-05-16,등급상승,일반,SILVER
ME00596,CUST00346,2023-08-15,가입,,일반
ME00597,CUST00346,2023-09-12,등급상승,일반,BRONZE
ME00598,CUST00347,2020-10-05,가입,,일반
ME00599,CUST00347,2020-10-31,등급상승,일반,BRONZE
ME00600,CUST00348,2022-04-24,가입,,일반
ME00601,CUST00348,2022-05-04,등급상승,일반,BRONZE
ME00602,CUST00349,2023-04-05,가입,,일반
ME00603,CUST00349,2023-04-23,등급상승,일반,BRONZE
ME00604,CUST00350,2021-11-24,가입,,일반
ME00605,CUST00350,2021-11-30,등급상승,일반,BRONZE
ME00606,CUST00351,2023-03-05,가입,,일반
ME00607,CUST00351,2023-03-24,등급상승,일반,SILVER
ME00608,CUST00352,2025-07-27,가입,,일반
ME00609,CUST00352,2025-08-10,등급상승,일반,BRONZE
ME00610,CUST00353,2025-01-20,가입,,일반
ME00611,CUST00353,2025-01-26,등급상승,일반,BRONZE
ME00612,CUST00354,2019-01-17,가입,,일반
ME00613,CUST00355,2019-09-29,가입,,일반
ME00614,CUST00355,2019-10-17,등급상승,일반,GOLD
ME00615,CUST00356,2023-09-18,가입,,일반
ME00616,CUST00356,2023-09-22,등급상승,일반,GOLD
ME00617,CUST00357,2025-08-17,가입,,일반
ME00618,CUST00357,2025-08-20,등급상승,일반,GOLD
ME00619,CUST00358,2021-04-15,가입,,일반
ME00620,CUST00358,2021-05-07,등급상승,일반,SILVER
ME00621,CUST00359,2022-08-01,가입,,일반
ME00622,CUST00359,2022-08-11,등급상승,일반,SILVER
ME00623,CUST00360,2024-01-19,가입,,일반
ME00624,CUST00360,2024-02-05,등급상승,일반,BRONZE
ME00625,CUST00361,2021-10-29,가입,,일반
ME00626,CUST00361,2025-12-19,이탈,일반,
ME00627,CUST00362,2020-02-27,가입,,일반
ME00628,CUST00362,2020-03-11,등급상승,일반,SILVER
ME00629,CUST00363,2021-06-24,가입,,일반
ME00630,CUST00363,2021-07-21,등급상승,일반,BRONZE
ME00631,CUST00364,2022-02-08,가입,,일반
ME00632,CUST00364,2022-02-11,등급상승,일반,GOLD
ME00633,CUST00365,2025-03-09,가입,,일반
ME00634,CUST00365,2025-04-06,등급상승,일반,SILVER
ME00635,CUST00366,2024-09-21,가입,,일반
ME00636,CUST00366,2024-10-01,등급상승,일반,SILVER
ME00637,CUST00367,2025-09-17,가입,,일반
ME00638,CUST00367,2025-09-25,등급상승,일반,SILVER
ME00639,CUST00368,2024-11-19,가입,,일반
ME00640,CUST00368,2024-12-05,등급상승,일반,SILVER
ME00641,CUST00369,2024-06-05,가입,,일반
ME00642,CUST00370,2024-07-03,가입,,일반
ME00643,CUST00370,2024-07-12,등급상승,일반,BRONZE
ME00644,CUST00371,2019-02-02,가입,,일반
ME00645,CUST00371,2019-02-19,등급상승,일반,GOLD
ME00646,CUST00372,2025-07-27,가입,,일반
ME00647,CUST00372,2025-08-18,등급상승,일반,BRONZE
ME00648,CUST00373,2021-07-06,가입,,일반
ME00649,CUST00373,2021-07-19,등급상승,일반,SILVER
ME00650,CUST00374,2021-08-27,가입,,일반
ME00651,CUST00374,2021-11-02,등급상승,일반,SILVER
ME00652,CUST00374,2024-05-04,이탈,SILVER,
ME00653,CUST00375,2025-02-21,가입,,일반
ME00654,CUST00375,2025-03-18,등급상승,일반,BRONZE
ME00655,CUST00376,2021-12-01,가입,,일반
ME00656,CUST00376,2021-12-10,등급상승,일반,BRONZE
ME00657,CUST00377,2021-10-25,가입,,일반
ME00658,CUST00377,2021-11-20,등급상승,일반,BRONZE
ME00659,CUST00378,2024-06-12,가입,,일반
ME00660,CUST00378,2024-07-06,등급상승,일반,BRONZE
ME00661,CUST00379,2024-01-14,가입,,일반
ME00662,CUST00379,2024-02-07,등급상승,일반,SILVER
ME00663,CUST00380,2019-11-13,가입,,일반
ME00664,CUST00380,2019-11-19,등급상승,일반,BRONZE
ME00665,CUST00381,2021-03-26,가입,,일반
ME00666,CUST00381,2021-04-06,등급상승,일반,BRONZE
ME00667,CUST00382,2019-12-21,가입,,일반
ME00668,CUST00382,2019-12-31,등급상승,일반,SILVER
ME00669,CUST00383,2024-01-08,가입,,일반
ME00670,CUST00383,2024-03-07,등급상승,일반,GOLD
ME00671,CUST00383,2024-04-09,이탈,GOLD,
ME00672,CUST00384,2020-07-22,가입,,일반
ME00673,CUST00384,2020-08-05,등급상승,일반,SILVER
ME00674,CUST00386,2020-03-11,가입,,일반
ME00675,CUST00386,2020-04-05,등급상승,일반,GOLD
ME00676,CUST00388,2025-01-15,가입,,일반
ME00677,CUST00388,2025-10-28,이탈,일반,
ME00678,CUST00389,2021-06-26,가입,,일반
ME00679,CUST00389,2021-06-28,등급상승,일반,VIP
ME00680,CUST00390,2025-04-25,가입,,일반
ME00681,CUST00390,2025-05-08,등급상승,일반,BRONZE
ME00682,CUST00391,2022-02-13,가입,,일반
ME00683,CUST00391,2022-03-09,등급상승,일반,BRONZE
ME00684,CUST00392,2025-04-05,가입,,일반
ME00685,CUST00392,2025-06-05,이탈,일반,
ME00686,CUST00393,2021-03-27,가입,,일반
ME00687,CUST00393,2021-06-05,등급상승,일반,SILVER
ME00688,CUST00393,2025-08-02,이탈,SILVER,
ME00689,CUST00394,2020-10-14,가입,,일반
ME00690,CUST00395,2025-12-02,가입,,일반
ME00691,CUST00395,2025-12-11,등급상승,일반,SILVER
ME00692,CUST00396,2021-10-02,가입,,일반
ME00693,CUST00397,2020-02-26,가입,,일반
ME00694,CUST00398,2021-02-14,가입,,일반
ME00695,CUST00398,2021-02-21,등급상승,일반,GOLD
ME00696,CUST00399,2020-03-17,가입,,일반
ME00697,CUST00399,2020-03-29,등급상승,일반,BRONZE
ME00698,CUST00400,2022-06-05,가입,,일반
ME00699,CUST00400,2022-06-23,등급상승,일반,BRONZE
